Year,WalesTransport,AngleseyTransport,GwyneddTransport,ConwyTransport,DenbigshireTransport,FlintshireTransport,WrexhamTransport,SwanseaTransport,NeathTransport,BridgendTransport,GlamorganTransport,CardiffTransport,MonmouthshireTransport,NewportTransport,PowysTransport,WalesDomestic,AngleseyDomestic,GwyneddDomestic,ConwyDomestic,DenbigshireDomestic,FlintshireDomestic,WrexhamDomestic,SwanseaDomestic,NeathDomestic,BridgendDomestic,GlamorganDomestic,CardiffDomestic,MonmouthshireDomestic,NewportDomestic,PowysDomestic,WalesIndustry,AngleseyIndustry,GwyneddIndustry,ConwyIndustry,DenbigshireIndustry,FlintshireIndustry,WrexhamIndustry,SwanseaIndustry,NeathIndustry,BridgendIndustry,GlamorganIndustry,CardiffIndustry,MonmouthshireIndustry,NewportIndustry,PowysIndustry
2006,6692.06,137.29,298.97,278.34,206.98,411.82,237.03,416.98,299.99,313.68,246.75,716.93,355.06,481.08,370.51,7908.30,213.64,361.11,304.30,259.33,401.13,331.95,599.72,365.24,334.99,308.12,739.40,245.46,343.62,414.64,19458.98,424.39,370.01,235.78,270.20,1573.71,872.48,675.98,7536.38,498.38,922.63,1003.98,278.71,1228.43,472.91
2007,6803.17,139.06,297.20,280.37,209.43,414.35,236.50,425.81,317.73,322.99,252.08,725.54,366.19,475.74,374.28,7496.83,205.99,351.94,292.83,248.93,384.56,320.75,562.30,344.18,314.72,287.74,696.71,231.78,320.61,395.43,19412.70,416.36,357.46,227.06,245.93,1517.36,800.81,585.44,8074.23,477.50,954.10,996.55,261.45,1079.77,459.26
2008,6542.54,135.22,285.95,271.75,204.93,397.40,228.70,404.39,298.15,302.57,246.61,698.39,353.09,459.36,361.01,7658.99,205.62,353.90,292.37,249.05,386.53,319.58,581.06,361.43,321.55,295.60,716.13,237.22,327.79,402.35,18469.91,374.38,338.68,201.62,233.01,1394.13,785.95,609.81,7622.26,476.55,853.08,1014.22,258.07,962.50,446.42
2009,6332.17,131.28,273.65,265.48,199.58,383.64,221.18,388.12,286.71,294.94,235.09,670.44,341.69,438.50,354.14,6984.95,191.19,324.98,268.89,229.65,355.06,293.88,532.46,325.62,288.34,266.20,644.77,216.90,296.45,377.75,15079.66,309.60,306.49,185.57,207.24,1042.95,721.90,507.48,5704.38,432.90,738.14,942.23,237.70,676.78,410.53
2010,6251.29,130.63,273.08,264.23,197.32,374.57,220.59,381.70,281.04,291.93,230.02,652.70,338.10,435.72,354.24,7465.92,206.56,349.54,286.86,247.61,380.43,314.49,560.74,349.06,305.18,284.63,684.07,234.25,315.08,411.55,17652.18,193.99,319.16,195.53,214.08,957.72,780.69,554.44,8027.75,430.42,767.25,958.74,251.64,804.24,433.84
2011,6127.56,127.08,264.38,251.25,190.43,362.99,215.82,376.11,280.23,285.78,221.53,646.72,335.38,436.26,346.86,6459.97,179.19,302.92,248.01,211.47,328.53,272.07,490.09,302.29,267.85,247.14,596.28,200.98,271.42,350.76,15874.23,178.54,293.53,179.58,202.92,903.95,682.86,463.36,7100.51,416.05,777.73,775.82,236.14,716.46,414.67
2012,6063.43,124.07,266.81,249.38,185.87,357.54,213.83,368.16,278.05,285.97,220.20,648.66,332.22,432.35,340.94,6872.42,188.55,318.30,266.75,225.78,349.05,288.98,517.70,317.05,286.45,266.84,646.11,215.91,291.18,368.48,14686.95,180.05,300.22,185.41,202.96,1183.12,730.25,504.05,5449.86,410.17,752.41,940.87,221.42,635.61,399.92
2013,6032.20,123.32,266.98,248.67,187.25,355.74,214.74,364.85,279.62,284.93,220.87,640.13,329.97,430.99,327.07,6714.96,180.36,302.91,255.91,216.82,342.92,283.98,517.22,315.23,280.77,260.67,628.84,210.92,290.31,354.96,17365.21,176.54,285.38,174.54,201.35,1178.90,673.31,459.36,8277.45,414.52,793.80,865.84,229.45,705.89,395.16
2014,6105.73,126.12,264.79,251.09,189.83,361.19,220.48,368.67,269.13,293.08,221.48,654.55,329.71,438.43,334.23,5643.19,153.91,257.15,213.98,182.51,289.66,237.75,433.91,266.95,233.93,216.96,514.82,177.73,239.09,308.64,17135.06,165.19,279.20,174.48,203.62,1202.41,634.45,403.53,8548.94,406.69,780.53,778.00,206.30,584.95,405.81
2015,6253.64,128.74,273.54,255.51,192.03,372.03,226.28,373.38,290.91,299.45,227.36,661.97,342.75,453.57,339.28,5474.86,147.41,246.55,207.88,175.81,282.06,229.52,422.14,258.48,227.92,208.71,498.55,172.78,234.11,296.11,15480.76,142.67,254.24,147.28,169.45,1154.71,551.26,367.19,7647.18,350.54,766.42,706.65,185.03,578.80,357.20
2016,6387.56,130.36,279.53,265.82,196.97,382.12,233.20,379.72,292.10,304.93,231.96,673.52,351.82,463.62,349.26,5178.12,137.18,229.97,195.66,166.08,267.49,217.08,398.52,244.91,216.46,200.68,471.35,164.22,225.35,281.28,14054.65,127.89,229.39,132.52,160.35,1186.41,447.50,324.68,6744.60,312.31,696.34,648.92,174.39,589.35,345.13
